,Tavg,HC Air temperature [°C] max,HC Air temperature [°C] min,opstina,mesto,usev
01/11/2017 00:00,5.66,5.87,5.48,Novi Sad,Nestin,Kruska
01/11/2017 01:00,6.15,6.53,5.83,Novi Sad,Nestin,Kruska
01/11/2017 02:00,6.15,6.53,5.83,Novi Sad,Nestin,Kruska
01/11/2017 03:00,5.78,5.98,5.64,Novi Sad,Nestin,Kruska
01/11/2017 04:00,5.43,5.91,4.98,Novi Sad,Nestin,Kruska
01/11/2017 05:00,5.58,5.81,5.41,Novi Sad,Nestin,Kruska
01/11/2017 06:00,5.15,5.4,4.98,Novi Sad,Nestin,Kruska
01/11/2017 07:00,5.38,5.71,5.01,Novi Sad,Nestin,Kruska
01/11/2017 08:00,5.78,8.03,4.43,Novi Sad,Nestin,Kruska
01/11/2017 09:00,8.77,9.91,7.78,Novi Sad,Nestin,Kruska
01/11/2017 10:00,10.44,11.09,9.7,Novi Sad,Nestin,Kruska
01/11/2017 11:00,11.48,11.9,11.19,Novi Sad,Nestin,Kruska
01/11/2017 12:00,12.41,12.96,11.95,Novi Sad,Nestin,Kruska
01/11/2017 13:00,13.47,13.83,12.7,Novi Sad,Nestin,Kruska
01/11/2017 14:00,13.22,13.58,13.07,Novi Sad,Nestin,Kruska
01/11/2017 15:00,12.57,12.79,12.4,Novi Sad,Nestin,Kruska
01/11/2017 16:00,12.4,12.82,11.68,Novi Sad,Nestin,Kruska
01/11/2017 17:00,9.91,11.47,8.04,Novi Sad,Nestin,Kruska
01/11/2017 18:00,7.33,7.85,6.74,Novi Sad,Nestin,Kruska
01/11/2017 19:00,6.39,7.53,5.29,Novi Sad,Nestin,Kruska
01/11/2017 20:00,5.95,7.19,5.22,Novi Sad,Nestin,Kruska
01/11/2017 21:00,7.77,8.41,7.06,Novi Sad,Nestin,Kruska
01/11/2017 22:00,8.48,9.08,8.06,Novi Sad,Nestin,Kruska
01/11/2017 23:00,9.01,9.15,8.91,Novi Sad,Nestin,Kruska
02/11/2017 00:00,9.1,9.29,8.88,Novi Sad,Nestin,Kruska
02/11/2017 01:00,9.39,9.49,9.21,Novi Sad,Nestin,Kruska
02/11/2017 02:00,9.16,9.4,9,Novi Sad,Nestin,Kruska
02/11/2017 03:00,9.08,9.17,8.9,Novi Sad,Nestin,Kruska
02/11/2017 04:00,9.08,9.43,8.86,Novi Sad,Nestin,Kruska
02/11/2017 05:00,8.83,9.36,8.48,Novi Sad,Nestin,Kruska
02/11/2017 06:00,7.37,8.38,6.36,Novi Sad,Nestin,Kruska
02/11/2017 07:00,6.33,6.81,6.14,Novi Sad,Nestin,Kruska
02/11/2017 08:00,8.09,9.44,6.93,Novi Sad,Nestin,Kruska
02/11/2017 09:00,11.41,12.67,9.84,Novi Sad,Nestin,Kruska
02/11/2017 10:00,13.52,14.13,12.58,Novi Sad,Nestin,Kruska
02/11/2017 11:00,14.75,15.14,14.31,Novi Sad,Nestin,Kruska
02/11/2017 12:00,15.03,15.3,14.63,Novi Sad,Nestin,Kruska
02/11/2017 13:00,15.76,16.22,15.27,Novi Sad,Nestin,Kruska
02/11/2017 14:00,16.18,16.34,16.03,Novi Sad,Nestin,Kruska
02/11/2017 15:00,15.82,16.05,15.66,Novi Sad,Nestin,Kruska
02/11/2017 16:00,15.1,16.33,14.02,Novi Sad,Nestin,Kruska
02/11/2017 17:00,13.03,13.9,12.16,Novi Sad,Nestin,Kruska
02/11/2017 18:00,11.82,12.27,11.27,Novi Sad,Nestin,Kruska
02/11/2017 19:00,11.38,12.09,10.77,Novi Sad,Nestin,Kruska
02/11/2017 20:00,10.04,10.62,9.31,Novi Sad,Nestin,Kruska
02/11/2017 21:00,10,10.4,9.18,Novi Sad,Nestin,Kruska
02/11/2017 22:00,10.61,12.58,9.73,Novi Sad,Nestin,Kruska
02/11/2017 23:00,12.55,12.88,12.02,Novi Sad,Nestin,Kruska
03/11/2017 00:00,12.14,12.39,12,Novi Sad,Nestin,Kruska
03/11/2017 01:00,12.24,12.41,12.16,Novi Sad,Nestin,Kruska
03/11/2017 02:00,11.86,12.14,11.69,Novi Sad,Nestin,Kruska
03/11/2017 03:00,11.88,12.05,11.68,Novi Sad,Nestin,Kruska
03/11/2017 04:00,11.74,11.92,11.41,Novi Sad,Nestin,Kruska
03/11/2017 05:00,11.79,12.13,11.2,Novi Sad,Nestin,Kruska
03/11/2017 06:00,11.45,11.79,11,Novi Sad,Nestin,Kruska
03/11/2017 07:00,10.92,11.14,10.67,Novi Sad,Nestin,Kruska
03/11/2017 08:00,10.81,11.24,10.61,Novi Sad,Nestin,Kruska
03/11/2017 09:00,10.99,11.4,10.53,Novi Sad,Nestin,Kruska
03/11/2017 10:00,10.55,10.74,10.44,Novi Sad,Nestin,Kruska
03/11/2017 11:00,10.33,10.73,10.06,Novi Sad,Nestin,Kruska
03/11/2017 12:00,10.74,11.47,10.22,Novi Sad,Nestin,Kruska
03/11/2017 13:00,11.69,12,11.47,Novi Sad,Nestin,Kruska
03/11/2017 14:00,11.67,11.85,11.46,Novi Sad,Nestin,Kruska
03/11/2017 15:00,11.24,11.62,10.92,Novi Sad,Nestin,Kruska
03/11/2017 16:00,10.89,11.04,10.61,Novi Sad,Nestin,Kruska
03/11/2017 17:00,10.4,10.52,10.23,Novi Sad,Nestin,Kruska
03/11/2017 18:00,9.81,10.16,9.47,Novi Sad,Nestin,Kruska
03/11/2017 19:00,9.32,9.47,9.07,Novi Sad,Nestin,Kruska
03/11/2017 20:00,8.29,9.02,7.68,Novi Sad,Nestin,Kruska
03/11/2017 21:00,7.92,8.07,7.61,Novi Sad,Nestin,Kruska
03/11/2017 22:00,6.57,7.79,5.64,Novi Sad,Nestin,Kruska
03/11/2017 23:00,5.08,5.46,4.59,Novi Sad,Nestin,Kruska
04/11/2017 00:00,4.38,4.92,4.11,Novi Sad,Nestin,Kruska
04/11/2017 01:00,3.52,4.06,2.12,Novi Sad,Nestin,Kruska
04/11/2017 02:00,2.15,3.07,1.35,Novi Sad,Nestin,Kruska
04/11/2017 03:00,2.23,2.96,1.57,Novi Sad,Nestin,Kruska
04/11/2017 04:00,2.71,4.61,1.44,Novi Sad,Nestin,Kruska
04/11/2017 05:00,1.63,2.09,0.94,Novi Sad,Nestin,Kruska
04/11/2017 06:00,2.95,4.9,1.56,Novi Sad,Nestin,Kruska
04/11/2017 07:00,2.47,3.75,1.44,Novi Sad,Nestin,Kruska
04/11/2017 08:00,5.77,7.51,3.84,Novi Sad,Nestin,Kruska
04/11/2017 09:00,8.49,9.78,7.7,Novi Sad,Nestin,Kruska
04/11/2017 10:00,11.01,12.03,9.86,Novi Sad,Nestin,Kruska
04/11/2017 11:00,12.61,13.14,11.84,Novi Sad,Nestin,Kruska
04/11/2017 12:00,13.3,13.56,12.78,Novi Sad,Nestin,Kruska
04/11/2017 13:00,14.02,14.79,13.27,Novi Sad,Nestin,Kruska
04/11/2017 14:00,14.36,14.75,13.89,Novi Sad,Nestin,Kruska
04/11/2017 15:00,13.61,13.91,13.06,Novi Sad,Nestin,Kruska
04/11/2017 16:00,11.64,12.82,10.46,Novi Sad,Nestin,Kruska
04/11/2017 17:00,8.86,10.16,7.76,Novi Sad,Nestin,Kruska
04/11/2017 18:00,7.15,7.68,6.56,Novi Sad,Nestin,Kruska
04/11/2017 19:00,5.67,6.44,5.02,Novi Sad,Nestin,Kruska
04/11/2017 20:00,7.32,8.76,4.68,Novi Sad,Nestin,Kruska
04/11/2017 21:00,8.98,9.34,8.6,Novi Sad,Nestin,Kruska
04/11/2017 22:00,9.57,9.94,9.19,Novi Sad,Nestin,Kruska
04/11/2017 23:00,8.94,9.75,8.21,Novi Sad,Nestin,Kruska
05/11/2017 00:00,8.73,9.32,7.91,Novi Sad,Nestin,Kruska
05/11/2017 01:00,8.33,8.82,7.9,Novi Sad,Nestin,Kruska
05/11/2017 02:00,8.23,8.61,7.87,Novi Sad,Nestin,Kruska
05/11/2017 03:00,7.21,7.78,6.8,Novi Sad,Nestin,Kruska
05/11/2017 04:00,6.43,7.25,5.51,Novi Sad,Nestin,Kruska
05/11/2017 05:00,5.56,6.87,4.13,Novi Sad,Nestin,Kruska
05/11/2017 06:00,5.41,6.76,3.4,Novi Sad,Nestin,Kruska
05/11/2017 07:00,5.9,6.67,5.59,Novi Sad,Nestin,Kruska
05/11/2017 08:00,7.85,8.9,6.7,Novi Sad,Nestin,Kruska
05/11/2017 09:00,9.63,10.24,9.24,Novi Sad,Nestin,Kruska
05/11/2017 10:00,11.89,12.77,10.72,Novi Sad,Nestin,Kruska
05/11/2017 11:00,13.09,13.74,12.62,Novi Sad,Nestin,Kruska
05/11/2017 12:00,14.56,15.18,13.8,Novi Sad,Nestin,Kruska
05/11/2017 13:00,15.62,15.97,15.24,Novi Sad,Nestin,Kruska
05/11/2017 14:00,15.93,16.38,15.63,Novi Sad,Nestin,Kruska
05/11/2017 15:00,15.12,15.59,14.8,Novi Sad,Nestin,Kruska
05/11/2017 16:00,13.77,14.95,12.35,Novi Sad,Nestin,Kruska
05/11/2017 17:00,11.61,12.29,11.01,Novi Sad,Nestin,Kruska
05/11/2017 18:00,10.52,10.91,9.85,Novi Sad,Nestin,Kruska
05/11/2017 19:00,11.09,11.41,9.85,Novi Sad,Nestin,Kruska
05/11/2017 20:00,10.7,11.14,10.36,Novi Sad,Nestin,Kruska
05/11/2017 21:00,10.27,10.55,10.02,Novi Sad,Nestin,Kruska
05/11/2017 22:00,9.57,10.24,9.27,Novi Sad,Nestin,Kruska
05/11/2017 23:00,9.06,9.54,8.75,Novi Sad,Nestin,Kruska
06/11/2017 00:00,9.28,9.75,8.84,Novi Sad,Nestin,Kruska
06/11/2017 01:00,9.46,9.73,9.28,Novi Sad,Nestin,Kruska
06/11/2017 02:00,9.35,9.46,9.07,Novi Sad,Nestin,Kruska
06/11/2017 03:00,8.7,8.96,8.35,Novi Sad,Nestin,Kruska
06/11/2017 04:00,8.7,8.96,8.35,Novi Sad,Nestin,Kruska
06/11/2017 05:00,8.28,8.47,8.02,Novi Sad,Nestin,Kruska
06/11/2017 06:00,8.13,8.3,7.97,Novi Sad,Nestin,Kruska
06/11/2017 07:00,8.16,8.42,7.96,Novi Sad,Nestin,Kruska
06/11/2017 08:00,9.47,10.4,8.47,Novi Sad,Nestin,Kruska
06/11/2017 09:00,11.37,11.94,10.55,Novi Sad,Nestin,Kruska
06/11/2017 10:00,12.79,13.47,12.01,Novi Sad,Nestin,Kruska
06/11/2017 11:00,14.02,14.31,13.56,Novi Sad,Nestin,Kruska
06/11/2017 12:00,14.95,15.43,14.39,Novi Sad,Nestin,Kruska
06/11/2017 13:00,15.58,15.82,15.35,Novi Sad,Nestin,Kruska
06/11/2017 14:00,15.79,16,15.4,Novi Sad,Nestin,Kruska
06/11/2017 15:00,14.98,15.3,14.77,Novi Sad,Nestin,Kruska
06/11/2017 16:00,14.13,14.92,13.09,Novi Sad,Nestin,Kruska
06/11/2017 17:00,11.62,12.87,10.53,Novi Sad,Nestin,Kruska
06/11/2017 18:00,9.78,10.29,9.42,Novi Sad,Nestin,Kruska
06/11/2017 19:00,9.37,9.55,9.11,Novi Sad,Nestin,Kruska
06/11/2017 20:00,8.89,9.06,8.71,Novi Sad,Nestin,Kruska
06/11/2017 21:00,8.37,8.84,7.99,Novi Sad,Nestin,Kruska
06/11/2017 22:00,8.26,8.83,7.81,Novi Sad,Nestin,Kruska
06/11/2017 23:00,8.26,8.77,7.92,Novi Sad,Nestin,Kruska
07/11/2017 00:00,8.63,9.09,8.15,Novi Sad,Nestin,Kruska
07/11/2017 01:00,8.01,8.48,7.72,Novi Sad,Nestin,Kruska
07/11/2017 02:00,7.89,8.04,7.81,Novi Sad,Nestin,Kruska
07/11/2017 03:00,8.09,8.36,7.82,Novi Sad,Nestin,Kruska
07/11/2017 04:00,8.4,8.92,7.97,Novi Sad,Nestin,Kruska
07/11/2017 05:00,8.53,8.82,8.2,Novi Sad,Nestin,Kruska
07/11/2017 06:00,8.98,9.62,8.05,Novi Sad,Nestin,Kruska
07/11/2017 07:00,8.83,9.35,8.27,Novi Sad,Nestin,Kruska
07/11/2017 08:00,9.85,10.47,9.04,Novi Sad,Nestin,Kruska
07/11/2017 09:00,11,11.55,10.31,Novi Sad,Nestin,Kruska
07/11/2017 10:00,12.2,13.82,11.51,Novi Sad,Nestin,Kruska
07/11/2017 11:00,14.24,14.51,14.01,Novi Sad,Nestin,Kruska
07/11/2017 12:00,15.17,15.69,14.6,Novi Sad,Nestin,Kruska
07/11/2017 13:00,15.37,16.11,14.94,Novi Sad,Nestin,Kruska
07/11/2017 14:00,15.97,16.82,15.37,Novi Sad,Nestin,Kruska
07/11/2017 15:00,14.69,15.6,13.98,Novi Sad,Nestin,Kruska
07/11/2017 16:00,13,13.81,12.38,Novi Sad,Nestin,Kruska
07/11/2017 17:00,11.61,12.23,11.15,Novi Sad,Nestin,Kruska
07/11/2017 18:00,10.66,10.93,10.37,Novi Sad,Nestin,Kruska
07/11/2017 19:00,10.13,10.66,9.65,Novi Sad,Nestin,Kruska
07/11/2017 20:00,9.84,10.6,9.45,Novi Sad,Nestin,Kruska
07/11/2017 21:00,10.88,11.09,10.62,Novi Sad,Nestin,Kruska
07/11/2017 22:00,10.42,10.86,10.09,Novi Sad,Nestin,Kruska
07/11/2017 23:00,10.26,10.51,10.1,Novi Sad,Nestin,Kruska
08/11/2017 00:00,10.36,10.66,10.07,Novi Sad,Nestin,Kruska
08/11/2017 01:00,9.66,10,9.4,Novi Sad,Nestin,Kruska
08/11/2017 02:00,9.42,10.13,8.92,Novi Sad,Nestin,Kruska
08/11/2017 03:00,9.51,9.77,9.07,Novi Sad,Nestin,Kruska
08/11/2017 04:00,9.6,9.8,9.47,Novi Sad,Nestin,Kruska
08/11/2017 05:00,9.17,9.47,8.66,Novi Sad,Nestin,Kruska
08/11/2017 06:00,8.6,8.72,8.37,Novi Sad,Nestin,Kruska
08/11/2017 07:00,8.21,8.72,7.96,Novi Sad,Nestin,Kruska
08/11/2017 08:00,9.32,9.7,8.82,Novi Sad,Nestin,Kruska
08/11/2017 09:00,10.05,10.65,9.68,Novi Sad,Nestin,Kruska
08/11/2017 10:00,11.09,11.64,10.79,Novi Sad,Nestin,Kruska
08/11/2017 11:00,12.27,12.71,11.74,Novi Sad,Nestin,Kruska
08/11/2017 12:00,13.2,13.88,12.36,Novi Sad,Nestin,Kruska
08/11/2017 13:00,13.5,14.56,12.72,Novi Sad,Nestin,Kruska
08/11/2017 14:00,13.77,14.5,13.5,Novi Sad,Nestin,Kruska
08/11/2017 15:00,13.21,13.37,13.04,Novi Sad,Nestin,Kruska
08/11/2017 16:00,12.47,13,11.85,Novi Sad,Nestin,Kruska
08/11/2017 17:00,10.74,11.59,10.33,Novi Sad,Nestin,Kruska
08/11/2017 18:00,10.28,10.47,10.04,Novi Sad,Nestin,Kruska
08/11/2017 19:00,10.24,10.6,9.95,Novi Sad,Nestin,Kruska
08/11/2017 20:00,9.51,9.88,9.3,Novi Sad,Nestin,Kruska
08/11/2017 21:00,9.52,9.63,9.46,Novi Sad,Nestin,Kruska
08/11/2017 22:00,9.07,9.5,8.79,Novi Sad,Nestin,Kruska
08/11/2017 23:00,8.98,9.05,8.92,Novi Sad,Nestin,Kruska
09/11/2017 00:00,9.12,9.2,8.89,Novi Sad,Nestin,Kruska
09/11/2017 01:00,9.05,9.32,8.81,Novi Sad,Nestin,Kruska
09/11/2017 02:00,8.88,9.03,8.74,Novi Sad,Nestin,Kruska
09/11/2017 03:00,8.98,9.02,8.93,Novi Sad,Nestin,Kruska
09/11/2017 04:00,8.8,8.98,8.55,Novi Sad,Nestin,Kruska
09/11/2017 05:00,8.43,8.54,8.37,Novi Sad,Nestin,Kruska
09/11/2017 06:00,8.22,8.36,8.14,Novi Sad,Nestin,Kruska
09/11/2017 07:00,8.14,8.32,8,Novi Sad,Nestin,Kruska
09/11/2017 08:00,8.44,8.68,8.17,Novi Sad,Nestin,Kruska
09/11/2017 09:00,9,9.27,8.73,Novi Sad,Nestin,Kruska
09/11/2017 10:00,9.67,10.2,9.35,Novi Sad,Nestin,Kruska
09/11/2017 11:00,10.92,11.74,10.23,Novi Sad,Nestin,Kruska
09/11/2017 12:00,12.37,12.86,11.75,Novi Sad,Nestin,Kruska
09/11/2017 13:00,12.65,13.03,12.22,Novi Sad,Nestin,Kruska
09/11/2017 14:00,12.74,13.22,12.48,Novi Sad,Nestin,Kruska
09/11/2017 15:00,12.28,12.43,12.23,Novi Sad,Nestin,Kruska
09/11/2017 16:00,11.94,12.22,11.72,Novi Sad,Nestin,Kruska
09/11/2017 17:00,11.4,11.65,11.18,Novi Sad,Nestin,Kruska
09/11/2017 18:00,11.08,11.36,10.76,Novi Sad,Nestin,Kruska
09/11/2017 19:00,10.65,10.88,10.37,Novi Sad,Nestin,Kruska
09/11/2017 20:00,10.08,10.5,9.78,Novi Sad,Nestin,Kruska
09/11/2017 21:00,9.72,10.02,9.43,Novi Sad,Nestin,Kruska
09/11/2017 22:00,9.61,9.86,9.37,Novi Sad,Nestin,Kruska
09/11/2017 23:00,9.39,9.46,9.29,Novi Sad,Nestin,Kruska
10/11/2017 00:00,9.08,9.31,8.96,Novi Sad,Nestin,Kruska
10/11/2017 01:00,9.06,9.24,8.94,Novi Sad,Nestin,Kruska
10/11/2017 02:00,9.19,9.31,9.04,Novi Sad,Nestin,Kruska
10/11/2017 03:00,8.87,8.99,8.81,Novi Sad,Nestin,Kruska
10/11/2017 04:00,8.77,8.83,8.7,Novi Sad,Nestin,Kruska
10/11/2017 05:00,8.71,8.77,8.67,Novi Sad,Nestin,Kruska
10/11/2017 06:00,8.45,8.62,8.38,Novi Sad,Nestin,Kruska
10/11/2017 07:00,8.37,8.41,8.34,Novi Sad,Nestin,Kruska
10/11/2017 08:00,8.53,8.78,8.41,Novi Sad,Nestin,Kruska
10/11/2017 09:00,9.25,9.68,8.79,Novi Sad,Nestin,Kruska
10/11/2017 10:00,10.37,10.81,9.8,Novi Sad,Nestin,Kruska
10/11/2017 11:00,11.33,11.92,10.76,Novi Sad,Nestin,Kruska
10/11/2017 12:00,12.02,12.29,11.79,Novi Sad,Nestin,Kruska
10/11/2017 13:00,12.14,12.29,12.05,Novi Sad,Nestin,Kruska
10/11/2017 14:00,12.35,12.48,12.19,Novi Sad,Nestin,Kruska
10/11/2017 15:00,12.16,12.44,11.98,Novi Sad,Nestin,Kruska
10/11/2017 16:00,11.14,11.86,10.44,Novi Sad,Nestin,Kruska
10/11/2017 17:00,9.78,10.42,9.44,Novi Sad,Nestin,Kruska
10/11/2017 18:00,9.57,9.89,9.19,Novi Sad,Nestin,Kruska
10/11/2017 19:00,8.15,9.39,7.68,Novi Sad,Nestin,Kruska
10/11/2017 20:00,7.34,7.74,6.84,Novi Sad,Nestin,Kruska
10/11/2017 21:00,7.66,8.52,7.06,Novi Sad,Nestin,Kruska
10/11/2017 22:00,8.34,8.79,7.52,Novi Sad,Nestin,Kruska
10/11/2017 23:00,6.83,7.37,6.06,Novi Sad,Nestin,Kruska
11/11/2017 00:00,7.86,8.23,7.35,Novi Sad,Nestin,Kruska
11/11/2017 01:00,7.67,8.13,7.21,Novi Sad,Nestin,Kruska
11/11/2017 02:00,6.98,7.47,5.94,Novi Sad,Nestin,Kruska
11/11/2017 03:00,5.25,5.7,4.59,Novi Sad,Nestin,Kruska
11/11/2017 04:00,5.64,6.17,5.02,Novi Sad,Nestin,Kruska
11/11/2017 05:00,5.79,5.88,5.66,Novi Sad,Nestin,Kruska
11/11/2017 06:00,5.38,5.84,5.04,Novi Sad,Nestin,Kruska
11/11/2017 07:00,5.09,5.47,4.72,Novi Sad,Nestin,Kruska
11/11/2017 08:00,6.09,7.16,4.96,Novi Sad,Nestin,Kruska
11/11/2017 09:00,9.29,10.37,7.43,Novi Sad,Nestin,Kruska
11/11/2017 10:00,10.5,11.15,9.98,Novi Sad,Nestin,Kruska
11/11/2017 11:00,11.8,12.8,11.02,Novi Sad,Nestin,Kruska
11/11/2017 12:00,12.96,13.47,12.51,Novi Sad,Nestin,Kruska
11/11/2017 13:00,13.58,14.31,12.67,Novi Sad,Nestin,Kruska
11/11/2017 14:00,14.53,14.85,14.17,Novi Sad,Nestin,Kruska
11/11/2017 15:00,14.06,14.35,13.74,Novi Sad,Nestin,Kruska
11/11/2017 16:00,12.62,13.95,11.3,Novi Sad,Nestin,Kruska
11/11/2017 17:00,10.41,11.24,10.05,Novi Sad,Nestin,Kruska
11/11/2017 18:00,9.38,10.22,8.61,Novi Sad,Nestin,Kruska
11/11/2017 19:00,9.06,9.55,8.77,Novi Sad,Nestin,Kruska
11/11/2017 20:00,10.13,10.88,9.05,Novi Sad,Nestin,Kruska
11/11/2017 21:00,10.56,10.92,10.22,Novi Sad,Nestin,Kruska
11/11/2017 22:00,9.87,10.31,9.28,Novi Sad,Nestin,Kruska
11/11/2017 23:00,10.43,11.06,9.42,Novi Sad,Nestin,Kruska
12/11/2017 00:00,10.93,11.2,10.64,Novi Sad,Nestin,Kruska
12/11/2017 01:00,10.45,10.88,9.91,Novi Sad,Nestin,Kruska
12/11/2017 02:00,10.54,10.88,10.16,Novi Sad,Nestin,Kruska
12/11/2017 03:00,10.23,10.32,10.09,Novi Sad,Nestin,Kruska
12/11/2017 04:00,10,10.17,9.85,Novi Sad,Nestin,Kruska
12/11/2017 05:00,9.91,10.06,9.69,Novi Sad,Nestin,Kruska
12/11/2017 06:00,9.42,9.78,9.19,Novi Sad,Nestin,Kruska
12/11/2017 07:00,9.43,9.66,9.3,Novi Sad,Nestin,Kruska
12/11/2017 08:00,9.77,10.76,9.19,Novi Sad,Nestin,Kruska
12/11/2017 09:00,12.66,13.61,11.44,Novi Sad,Nestin,Kruska
12/11/2017 10:00,13.07,13.4,12.67,Novi Sad,Nestin,Kruska
12/11/2017 11:00,13.39,13.65,13.2,Novi Sad,Nestin,Kruska
12/11/2017 12:00,13.42,13.6,13.24,Novi Sad,Nestin,Kruska
12/11/2017 13:00,13.96,14.48,13.61,Novi Sad,Nestin,Kruska
12/11/2017 14:00,14.52,14.64,14.39,Novi Sad,Nestin,Kruska
12/11/2017 15:00,14.51,14.7,14.33,Novi Sad,Nestin,Kruska
12/11/2017 16:00,14.05,14.36,13.82,Novi Sad,Nestin,Kruska
12/11/2017 17:00,13.94,14.05,13.77,Novi Sad,Nestin,Kruska
12/11/2017 18:00,13.92,14.07,13.83,Novi Sad,Nestin,Kruska
12/11/2017 19:00,13.69,13.92,13.5,Novi Sad,Nestin,Kruska
12/11/2017 20:00,13.23,13.42,12.88,Novi Sad,Nestin,Kruska
12/11/2017 21:00,12.33,12.89,11.56,Novi Sad,Nestin,Kruska
12/11/2017 22:00,12.26,12.94,11.71,Novi Sad,Nestin,Kruska
12/11/2017 23:00,13.08,13.35,12.78,Novi Sad,Nestin,Kruska
13/11/2017 00:00,12.67,13.1,12.21,Novi Sad,Nestin,Kruska
13/11/2017 01:00,13.85,14.6,13.07,Novi Sad,Nestin,Kruska
13/11/2017 02:00,14.41,14.66,13.97,Novi Sad,Nestin,Kruska
13/11/2017 03:00,14.91,15.41,14.19,Novi Sad,Nestin,Kruska
13/11/2017 04:00,14.78,15.01,14.55,Novi Sad,Nestin,Kruska
13/11/2017 05:00,14.81,14.94,14.7,Novi Sad,Nestin,Kruska
13/11/2017 06:00,15,15.15,14.76,Novi Sad,Nestin,Kruska
13/11/2017 07:00,13.28,14.87,8.47,Novi Sad,Nestin,Kruska
13/11/2017 08:00,7.25,8.12,6.94,Novi Sad,Nestin,Kruska
13/11/2017 09:00,7.07,7.29,6.94,Novi Sad,Nestin,Kruska
13/11/2017 10:00,7.24,7.36,7.18,Novi Sad,Nestin,Kruska
13/11/2017 11:00,7.21,7.35,7.11,Novi Sad,Nestin,Kruska
13/11/2017 12:00,7.09,7.2,6.94,Novi Sad,Nestin,Kruska
13/11/2017 13:00,6.24,6.91,5.88,Novi Sad,Nestin,Kruska
13/11/2017 14:00,5.86,6.04,5.62,Novi Sad,Nestin,Kruska
13/11/2017 15:00,5.52,5.71,5.32,Novi Sad,Nestin,Kruska
13/11/2017 16:00,4.97,5.17,4.79,Novi Sad,Nestin,Kruska
13/11/2017 17:00,4.82,4.86,4.79,Novi Sad,Nestin,Kruska
13/11/2017 18:00,4.88,4.9,4.86,Novi Sad,Nestin,Kruska
13/11/2017 19:00,4.92,4.97,4.87,Novi Sad,Nestin,Kruska
13/11/2017 20:00,4.89,4.94,4.85,Novi Sad,Nestin,Kruska
13/11/2017 21:00,4.77,4.85,4.7,Novi Sad,Nestin,Kruska
13/11/2017 22:00,4.58,4.71,4.48,Novi Sad,Nestin,Kruska
13/11/2017 23:00,4.35,4.45,4.24,Novi Sad,Nestin,Kruska
14/11/2017 00:00,4.18,4.23,4.14,Novi Sad,Nestin,Kruska
14/11/2017 01:00,4.15,4.17,4.13,Novi Sad,Nestin,Kruska
14/11/2017 02:00,4.14,4.17,4.12,Novi Sad,Nestin,Kruska
14/11/2017 03:00,4.16,4.19,4.15,Novi Sad,Nestin,Kruska
14/11/2017 04:00,4.26,4.39,4.19,Novi Sad,Nestin,Kruska
14/11/2017 05:00,4.64,4.76,4.45,Novi Sad,Nestin,Kruska
14/11/2017 06:00,4.4,4.57,4.3,Novi Sad,Nestin,Kruska
14/11/2017 07:00,4.29,4.33,4.28,Novi Sad,Nestin,Kruska
14/11/2017 08:00,4.03,4.27,3.73,Novi Sad,Nestin,Kruska
14/11/2017 09:00,3.77,3.84,3.73,Novi Sad,Nestin,Kruska
14/11/2017 10:00,3.88,4,3.84,Novi Sad,Nestin,Kruska
14/11/2017 11:00,3.99,4.1,3.93,Novi Sad,Nestin,Kruska
14/11/2017 12:00,4.3,4.49,4.1,Novi Sad,Nestin,Kruska
14/11/2017 13:00,4.65,4.73,4.53,Novi Sad,Nestin,Kruska
14/11/2017 14:00,4.81,4.93,4.72,Novi Sad,Nestin,Kruska
14/11/2017 15:00,5.01,5.07,4.95,Novi Sad,Nestin,Kruska
14/11/2017 16:00,5.09,5.19,4.94,Novi Sad,Nestin,Kruska
14/11/2017 17:00,5.12,5.18,5.08,Novi Sad,Nestin,Kruska
14/11/2017 18:00,5.14,5.17,5.13,Novi Sad,Nestin,Kruska
14/11/2017 19:00,5.16,5.2,5.14,Novi Sad,Nestin,Kruska
14/11/2017 20:00,5.18,5.23,5.15,Novi Sad,Nestin,Kruska
14/11/2017 21:00,5.21,5.25,5.2,Novi Sad,Nestin,Kruska
14/11/2017 22:00,5.17,5.23,5.1,Novi Sad,Nestin,Kruska
14/11/2017 23:00,5.05,5.1,5.03,Novi Sad,Nestin,Kruska
15/11/2017 00:00,5.06,5.1,5.03,Novi Sad,Nestin,Kruska
15/11/2017 01:00,4.95,5.1,4.86,Novi Sad,Nestin,Kruska
15/11/2017 02:00,4.87,4.93,4.81,Novi Sad,Nestin,Kruska
15/11/2017 03:00,4.67,4.79,4.52,Novi Sad,Nestin,Kruska
15/11/2017 04:00,4.51,4.62,4.34,Novi Sad,Nestin,Kruska
15/11/2017 05:00,4.17,4.3,4.08,Novi Sad,Nestin,Kruska
15/11/2017 06:00,3.87,4.02,3.7,Novi Sad,Nestin,Kruska
15/11/2017 07:00,3.48,3.68,3.43,Novi Sad,Nestin,Kruska
15/11/2017 08:00,3.32,3.48,3.21,Novi Sad,Nestin,Kruska
15/11/2017 09:00,3.22,3.33,3.14,Novi Sad,Nestin,Kruska
15/11/2017 10:00,3.4,3.53,3.3,Novi Sad,Nestin,Kruska
15/11/2017 11:00,3.67,3.82,3.49,Novi Sad,Nestin,Kruska
15/11/2017 12:00,3.9,4.06,3.71,Novi Sad,Nestin,Kruska
